isbn,category,title,author,publisher,createDateTime
283 ,기술과학,백견불여일타 JSP & Servlet,성윤정,로드북,2020-02-27T15:33:36.686+0000
284 ,기술과학,코딩을 지탱하는 기술,니시오 히로카즈,비제이퍼블릭,2020-02-27T15:33:36.686+0000
285 ,기술과학,컴퓨터 구조 및 설계,"데이비드 패터슨, 존 헤네시",한티미디어,2020-02-27T15:33:36.686+0000
286 ,기술과학,웹을 지탱하는 기술,야마모토 요헤이,멘토르,2020-02-27T15:33:36.686+0000
287 ,기술과학,자바와 JUnit을 활용한 실용주의 단위 테스트,"제프 랭어, 앤디 헌트, 데이브 토마스",길벗,2020-02-27T15:33:36.686+0000
288 ,언어,애로우 잉글리시 전치사 혁명,최재봉,애로우 잉글리시,2020-02-27T15:33:36.686+0000
289 ,기술과학,테스트 주도 개발,켄트 벡,인사이트,2020-02-27T15:33:36.686+0000
290 ,사회과학,양육가설,주디스 리치 해리스,이김,2020-02-27T15:33:36.686+0000
291 ,기술과학,파이썬으로 배우는 웹 크롤러,박정태,정보문화사,2020-02-27T15:33:36.686+0000
292 ,총류,실수연발 건망증 투성이는 어떻게 기억력 천재가 됐을까?,조신영,베프북스,2020-02-27T15:33:36.686+0000
293 ,기술과학,엔터프라이즈 애플리케이션 아키텍처 패턴,마틴 파울러,위키북스,2020-02-27T15:33:36.686+0000
294 ,기술과학,프로그래밍 언어 도감,마스이 토시카츠,영진닷컴,2020-02-27T15:33:36.686+0000
295 ,기술과학,프로그래밍 언어론,"김종훈, 김종진",한빛미디어,2020-02-27T15:33:36.686+0000
296 ,기술과학,밑바닥부터 만드는 컴퓨팅 시스템,"노암 니산, 시몬 쇼켄",인사이트,2020-02-27T15:33:36.686+0000
297 ,기술과학,윤성우의 열혈 자료구조,윤성우,오렌지미디어,2020-02-27T15:33:36.686+0000
298 ,기술과학,실용주의 프로그래머,"앤드류 헌트, 데이비드 토머스",인사이트,2020-02-27T15:33:36.686+0000
299 ,기술과학,익스트림 프로그래밍(XP),켄트 벡,인사이트,2020-02-27T15:33:36.686+0000
300 ,기술과학,켄트 벡의 구현 패턴,켄트 벡,에이콘,2020-02-27T15:33:36.686+0000
301 ,기술과학,뇌를 자극하는 윈도우즈 시스템 프로그래밍,윤성우,한빛미디어,2020-02-27T15:33:36.686+0000
302 ,기술과학,HTTP 완벽 가이드,데이빗 고울리,인사이트,2020-02-27T15:33:36.686+0000
303 ,기술과학,손에 잡히는 Vim,김선영,인사이트,2020-02-27T15:33:36.686+0000
304 ,기술과학,"건축, 우리의 자화상",임석재,인물과 사상사,2020-02-27T15:33:36.686+0000
305 ,사회과학,비교정부와 정치,"로드 헤이그, 마틴 해롭",명인문화사,2020-02-27T15:33:36.686+0000
306 ,사회과학,현대심리학,"앤서니 기든스, 필립 서튼",을유문화사,2020-02-27T15:33:36.686+0000
307 ,기술과학,자바 최적화,"벤저민 J. 에번스, 제임스 고프, 크리스 뉴랜드","한빛미디어, 오라일리",2020-02-27T15:33:36.686+0000
308 ,기술과학,소셜 코딩으로 이끄는 GitHub 실천 기술,"오오츠카 히로키 지음, 윤인성 옮김",제이펍,2020-03-27T15:33:36.686+0000
309 ,사회과학,생각의 탄생,"로버트 루트번스타인, 미셸 루트번스타인",에코의 서재,2020-03-27T15:33:36.686+0000
310 ,기술과학,코딩 인터뷰 완전 분석,게일 라크만 맥도웰,인사이트,2020-03-27T15:33:36.686+0000
311 ,기술과학,알고리즘,로버트 세지윅,길벗,2020-03-27T15:33:36.686+0000
312 ,기술과학,Head First Servlets & JSP,"케이시 시에라, 버트 베이츠, 브라얀 바샴","한빛미디어, 오라일리",2020-03-27T15:33:36.686+0000
313 ,자연과학,세상에서 가장 쉬운 통계학 입문,고지마 히로유키,지상사,2020-03-27T15:33:36.686+0000
314 ,기술과학,오브젝트,조영호,위키북스,2020-03-27T15:33:36.686+0000
315 ,기술과학,프로젝트 성패를 결정짓는 데이터 모델링 이야기,김상래,한빛미디어,2020-03-27T15:33:36.686+0000
316 ,기술과학,네트워크 개론: 쉽게 배우는 네트워크의 기본 원리,전혜진,한빛아카데미,2020-03-27T15:33:36.686+0000
317 ,기술과학,HTML5 핵심 API,하타노 후토미,한빛미디어,2020-03-27T15:33:36.686+0000
318 ,언어,레토릭: 세상을 움직인 설득의 비밀,샘 리스,청어람미디어,2020-03-27T15:33:36.686+0000
319 ,기술과학,자바스크립트 성능 이야기,박재성,위키북스,2020-03-27T15:33:36.686+0000
320 ,기술과학,자바스크립트 완벽 가이드,데이비드 플래너건,"인사이트, 오라일리",2020-03-27T15:33:36.686+0000
321 ,기술과학,패턴 랭귀지,크리스토퍼 알렉산더,인사이트,2020-03-27T15:33:36.686+0000
322 ,기술과학,How Computers Work,론 화이트,교학사,2020-03-27T15:33:36.686+0000
323 ,사회과학,유한계급론,소스타인 베블런,현대지성,2020-03-27T15:33:36.686+0000
324 ,기술과학,모두를 위한 실용 전자공학,"폴 슈레즈, 사이먼 몽크",제이펍,2020-03-27T15:33:36.686+0000
325 ,기술과학,"프로그래머의 길, 멘토에게 묻다","데이브 후버, 애디웨일 오시나이","인사이트, 오라일리",2020-03-27T15:33:36.686+0000
326 ,기술과학,"빌트, 우리가 지어 올린 모든 것들의 과학",로마 아그라왈,어크로스,2020-03-27T15:33:36.686+0000
327 ,사회과학,정리하는 뇌,대니얼 J. 레비틴,와이즈베리,2020-03-27T15:33:36.686+0000
328 ,총류,도해사고력: 그림으로 그리고 생각정리 기술,나가타 도요시,스펙트럼북스,2020-03-27T15:33:36.686+0000
329 ,사회과학,매니징,헤럴드 제닌,OCEO,2020-03-27T15:33:36.686+0000
330 ,역사,대항해시대의 탄생,송동훈,시공사,2020-03-27T15:33:36.686+0000
331 ,사회과학,전문가의 조건: 기술적 숙련가에서 성찰적 실천가로,도날드 쇤,박영스토리,2020-03-27T15:33:36.686+0000
332 ,기술과학,영원의 건축,크리스토퍼 알렉산더,안그라픽스,2020-03-27T15:33:36.686+0000
333 ,자연과학,산책자를 위한 자연수업,트리스탄 굴리,이케이북,2020-03-27T15:33:36.686+0000
